first	second	richness	neutral	phylogenetic
M301188	M301210	0.13636363636363646	0.03791069468007591	0.009776813617636826
M301188	M301211	0.14925373134328357	0.03658447624680028	0.009627757913732049
M301188	M301212	0.20833333333333326	0.03889095021838307	0.009498573698228485
M301188	M301214	0.1399999999999999	0.048577383673336194	0.016657549045277276
M301188	M301215	0.8387096774193548	0.40309752771013097	0.12188568068676098
M301188	M301216	0.21126760563380276	0.04453339547363544	0.012406494631562293
M301188	M301219	0.09523809523809534	0.04886932272109745	0.012483648491481092
M301188	M301222	0.2954545454545454	0.09671766283480421	0.026607955003620787
M301188	M301223	0.11475409836065564	0.04345432387221315	0.012229817071858995
M301188	M301224	0.13461538461538458	0.048040394755984206	0.008692784395075481
M301188	M301225	0.3571428571428572	0.1772393178261289	0.075957861048083
M301188	M301226	0.7538461538461538	0.36502374824498174	0.08854503463800767
M301188	M301227	0.9655172413793103	0.6870810091368913	0.4477417280664169
M301188	M301229	0.09259259259259256	0.04832308551463427	0.014537138669800886
M301188	M301233	0.17910447761194037	0.07123270672365734	0.025143989598764738
M301188	M301282	0.12621359223300965	0.048206174903183685	0.009210535141226384
M301188	M301285	0.3571428571428572	0.0973455569562619	0.024281126146744825
M301188	M301287	0.1875	0.057251350186622196	0.013027946984896066
M301188	M301289	0.07547169811320753	0.024117512155796494	0.0047430006072932684
M301188	M301292	0.09565217391304337	0.033611543717159464	0.007224016735211891
M301188	M301296	0.197080291970803	0.05414858314612303	0.01555464652166727
M301188	M301297	0.24731182795698925	0.10042536440628036	0.024905136755597912
M301188	M301298	0.288888888888889	0.13783143213335758	0.04928545440691401
M301188	M301301	0.48051948051948057	0.13989908657739758	0.027647808028977372
M301188	M301303	0.09090909090909083	0.03829720204888043	0.009251470432960596
M301188	M301304	0.8387096774193548	0.4687245625799987	0.14756174354661133
M301188	M301305	0.06896551724137923	0.027920860961988425	0.010891006293703875
M301188	M301306	0.3902439024390243	0.11946641923255163	0.03248861882381204
M301188	M301310	0.12149532710280364	0.04838269933915318	0.018867957735130392
M301188	M301311	0.06194690265486735	0.02592441033554116	0.00975700331466045
M301188	M301312	0.1359999999999999	0.041136452113080035	0.013690714556215622
M301188	M301313	0.1914893617021276	0.05003353432194457	0.014891774518679846
M301188	M301314	0.21126760563380276	0.04911459074395741	0.01473199662964031
M301188	M301315	0.23287671232876717	0.05746707429844766	0.018625694845632146
M301188	M301316	0.21126760563380276	0.06193882005540319	0.02035116451461283
M301188	M301317	0.17557251908396942	0.05825995860240274	0.015786160317257436
M301188	M301318	0.06896551724137923	0.03351267736026575	0.013106069880996385
M301188	M301322	0.1287128712871286	0.0528012317155262	0.01672463614089681
M301188	M301323	0.08771929824561409	0.04511643779547281	0.013040790157983873
M301188	M301324	0.1515151515151516	0.04406479360192761	0.01097051787471226
M301188	M301325	0.38095238095238093	0.12352118279424873	0.029319397684551163
M301188	M301326	0.0714285714285714	0.03741456128916576	0.010432683253056463
M301188	M301329	0.140625	0.040940766388119054	0.010887625398543488
M301189	M301191	0.6551724137931036	0.2518963594398542	0.05341877172542675
M301189	M301192	0.7647058823529411	0.25044826764850836	0.05769366218681016
M301189	M301193	0.7979797979797978	0.28947961855606785	0.07231907188401565
M301189	M301194	0.6226415094339623	0.2112741804343179	0.042052157668679424
M301189	M301195	0.7402597402597402	0.261154558667854	0.06153813144272391
M301189	M301198	0.7402597402597402	0.24640983258672733	0.058881684528265144
M301189	M301199	0.7402597402597402	0.25708199687467026	0.06131009752813876
M301189	M301200	0.7222222222222225	0.25471112540342844	0.059233310438644216
M301189	M301201	0.6721311475409837	0.255662349578764	0.06299047706264993
M301189	M301202	0.7297297297297298	0.2503291015052381	0.05754543488871211
M301189	M301203	0.7560975609756098	0.2656409783555098	0.06271767848161514
M301189	M301204	0.31034482758620685	0.10691834697332325	0.020651698352705083
M301189	M301205	0.8181818181818181	0.6032134061138512	0.34954699397278655
M301189	M301206	0.33333333333333326	0.13068242776818884	0.02402886344453803
M301189	M301208	0.4871794871794872	0.21195094889666255	0.041264100606449916
M301189	M301210	0.7647058823529411	0.27587019860743467	0.06865934449089084
M301189	M301211	0.7701149425287355	0.2573407170417854	0.05839573194359826
M301189	M301212	0.793814432989691	0.28674674880336504	0.07375290106448185
M301189	M301214	0.6226415094339623	0.2157661884975728	0.042233314578110526
M301189	M301215	0.33333333333333326	0.19509662079733736	0.05866316030230323
M301189	M301216	0.7894736842105263	0.29433220322059406	0.08310389455654177
M301189	M301219	0.7468354430379747	0.31169780057547136	0.07993131911055129
M301189	M301222	0.5121951219512195	0.16389590519669617	0.030053855673780827
M301189	M301223	0.7333333333333334	0.2685833960158792	0.06680830022614015
M301189	M301224	0.6491228070175437	0.2472683499515158	0.05942564025516306
M301189	M301225	0.45945945945945943	0.191165096854641	0.0448865263532644
