Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
GRCg7b | M301196.lib1	17620	0	0	0	0	0	0	0	2142	0	12.16	nan	17620	0	8810	0	8810	0	2074	0	11.77	nan	2128	0	14	0	0.08	nan	2	0	0	0	17620
GRCg7b | M301197.lib1	7308	0	0	0	0	0	0	0	33	0	0.45	nan	7308	0	3654	0	3654	0	32	0	0.44	nan	32	0	1	0	0.01	nan	0	0	0	0	7308
GRCg7b | M301198.lib1	16476048	0	0	0	0	0	0	0	57086	0	0.35	nan	16476048	0	8238024	0	8238024	0	53888	0	0.33	nan	55690	0	1396	0	0.01	nan	86	0	28	0	16476048
GRCg7b | M301199.lib1	12540786	0	0	0	0	0	0	0	1908	0	0.02	nan	12540786	0	6270393	0	6270393	0	1340	0	0.01	nan	1362	0	546	0	0.0	nan	0	0	0	0	12540786
GRCg7b | M301200.lib1	13826928	0	0	0	0	0	0	0	9736	0	0.07	nan	13826928	0	6913464	0	6913464	0	8868	0	0.06	nan	9132	0	604	0	0.0	nan	4	0	2	0	13826928
GRCg7b | M301201.lib1	8431806	0	0	0	0	0	0	0	2224	0	0.03	nan	8431806	0	4215903	0	4215903	0	1710	0	0.02	nan	1752	0	472	0	0.01	nan	0	0	0	0	8431806
GRCg7b | M301202.lib1	16506448	0	0	0	0	0	0	0	1678	0	0.01	nan	16506448	0	8253224	0	8253224	0	658	0	0.0	nan	668	0	1010	0	0.01	nan	0	0	0	0	16506448
GRCg7b | M301203.lib1	18240762	0	0	0	0	0	0	0	1206	0	0.01	nan	18240762	0	9120381	0	9120381	0	420	0	0.0	nan	420	0	786	0	0.0	nan	0	0	0	0	18240762
GRCg7b | M301204.lib1	1339794	0	0	0	0	0	0	0	202	0	0.02	nan	1339794	0	669897	0	669897	0	54	0	0.0	nan	58	0	144	0	0.01	nan	0	0	0	0	1339794
GRCg7b | M301205.lib1	450786	0	0	0	0	0	0	0	260	0	0.06	nan	450786	0	225393	0	225393	0	228	0	0.05	nan	236	0	24	0	0.01	nan	0	0	0	0	450786
GRCg7b | M301206.lib1	2787154	0	0	0	0	0	0	0	356	0	0.01	nan	2787154	0	1393577	0	1393577	0	198	0	0.01	nan	198	0	158	0	0.01	nan	0	0	0	0	2787154
GRCg7b | M301207.lib1	4306	0	0	0	0	0	0	0	8	0	0.19	nan	4306	0	2153	0	2153	0	0	0	0.0	nan	0	0	8	0	0.19	nan	0	0	0	0	4306
GRCg7b | M301208.lib1	7410522	0	0	0	0	0	0	0	8161	0	0.11	nan	7410522	0	3705261	0	3705261	0	7256	0	0.1	nan	7472	0	689	0	0.01	nan	2	0	2	0	7410522
