Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301206.lib1	2786566.0	0.0	2786566.0	1.0	1393283.0	1393283.0	2305873.0	2274412.0	480693.0	2195358.0	2786566.0	0.0	54728.0	0.0	0.0	0.0	408736818.0	204368810.0	204368008.0	338300609.0	338300609.0	0.0	0.0	2492063.0	0.007366416	147.0	147.0	147.0	150.0	150.0	150.0	39.0	246.1	92.0	1050919.0	75147.0	944.0	10196.0	78.8	82.74962803680229	81.62060399789561	17.250371963197715	78.78363548539672	100.0	0.0	1.9639943930988895	0.0
REF0009-mgg-pbdrep | M301207.lib1	4286.0	0.0	4286.0	1.0	2143.0	2143.0	133.0	124.0	4153.0	114.0	4286.0	0.0	24.0	0.0	0.0	0.0	586440.0	292191.0	294249.0	19618.0	19618.0	0.0	0.0	429.0	0.02186767	137.0	136.0	137.0	150.0	150.0	150.0	38.4	212.0	86.8	58.0	1.0	0.0	3.0	2.7	3.1031264582361175	2.8931404573028465	96.89687354176388	2.6598226784881005	100.0	0.0	0.5599626691553896	0.0
REF0009-mgg-pbdrep | M301208.lib1	7401446.0	0.0	7401446.0	1.0	3700723.0	3700723.0	6383865.0	6297632.0	1017581.0	5928486.0	7401446.0	0.0	136057.0	0.0	0.0	0.0	1084228158.0	542119865.0	542108293.0	935199236.0	935199236.0	0.0	0.0	6947648.0	0.007429057	146.0	146.0	146.0	150.0	150.0	150.0	38.9	251.5	102.1	2882699.0	217826.0	3448.0	44843.0	80.1	86.25159191866022	85.08650877139414	13.74840808133978	80.09902389343921	100.0	0.0	1.8382489043357204	0.0
REF0009-mgg-pbdrep | M301209.lib1	38706.0	0.0	38706.0	1.0	19353.0	19353.0	1823.0	1804.0	36883.0	1704.0	38706.0	0.0	49.0	0.0	0.0	0.0	5274526.0	2636414.0	2638112.0	262577.0	262577.0	0.0	0.0	1829.0	0.006965576	136.0	136.0	136.0	150.0	150.0	150.0	38.4	231.7	101.5	791.0	96.0	3.0	12.0	4.4	4.709864103756523	4.660776107063504	95.29013589624348	4.402418229731825	100.0	0.0	0.12659535989252313	0.0
REF0009-mgg-pbdrep | M301210.lib1	17119320.0	0.0	17119320.0	1.0	8559660.0	8559660.0	14689518.0	14506488.0	2429802.0	13651498.0	17119320.0	0.0	293992.0	0.0	0.0	0.0	2525093845.0	1262570236.0	1262523609.0	2166773494.0	2166773494.0	0.0	0.0	15053945.0	0.006947632	147.0	148.0	147.0	150.0	150.0	150.0	39.0	258.4	100.3	6736119.0	406732.0	5675.0	104718.0	79.7	85.80666755455239	84.73752462130506	14.193332445447599	79.74322578233247	100.0	0.0	1.7173112016131482	0.0
REF0009-mgg-pbdrep | M301211.lib1	33824952.0	0.0	33824952.0	1.0	16912476.0	16912476.0	29192767.0	28869596.0	4632185.0	27572620.0	33824952.0	0.0	558940.0	0.0	0.0	0.0	5005824835.0	2502949877.0	2502874958.0	4320574986.0	4320574986.0	0.0	0.0	28165646.0	0.006518958	148.0	148.0	148.0	150.0	150.0	150.0	39.1	259.7	94.1	13596434.0	668372.0	8265.0	161727.0	81.5	86.30542032993867	85.34999842719658	13.694579670061321	81.51562195860618	100.0	0.0	1.6524487603116187	0.0
REF0009-mgg-pbdrep | M301212.lib1	62227018.0	0.0	62227018.0	1.0	31113509.0	31113509.0	53418317.0	52792012.0	8808701.0	50710710.0	62227018.0	0.0	1179618.0	0.0	0.0	0.0	9063444124.0	4531678416.0	4531765708.0	7780192912.0	7780192912.0	0.0	0.0	58011534.0	0.007456311	146.0	146.0	146.0	150.0	150.0	150.0	38.9	235.0	94.3	23848066.0	2274827.0	21943.0	251170.0	81.5	85.84425016156165	84.83776612917559	14.155749838438345	81.49307427844285	100.0	0.0	1.895668534204869	0.0
REF0009-mgg-pbdrep | M301213.lib1	120764.0	0.0	120764.0	1.0	60382.0	60382.0	86560.0	85376.0	34204.0	81900.0	120764.0	0.0	1821.0	0.0	0.0	0.0	17600186.0	8799741.0	8800445.0	12698464.0	12698464.0	0.0	0.0	94432.0	0.00743649	146.0	146.0	146.0	150.0	150.0	150.0	38.8	244.6	93.2	39275.0	2887.0	53.0	473.0	67.8	71.67698983140671	70.69656520155013	28.32301016859329	67.818223974032	100.0	0.0	1.507899705210162	0.0
REF0009-mgg-pbdrep | M301214.lib1	5835096.0	0.0	5835096.0	1.0	2917548.0	2917548.0	4967511.0	4895400.0	867585.0	4609934.0	5835096.0	0.0	102861.0	0.0	0.0	0.0	862142662.0	431079960.0	431062702.0	734094228.0	734094228.0	0.0	0.0	6165390.0	0.008398636	148.0	148.0	148.0	150.0	150.0	150.0	38.4	267.9	99.5	2295710.0	114119.0	1455.0	36416.0	79.0	85.13160708924069	83.89579194583945	14.86839291075931	79.0035673791828	100.0	0.0	1.7627987611514875	0.0
REF0009-mgg-pbdrep | M301215.lib1	350074.0	0.0	350074.0	1.0	175037.0	175037.0	293997.0	290090.0	56077.0	278892.0	350074.0	0.0	6912.0	0.0	0.0	0.0	50200871.0	25098333.0	25102538.0	42209067.0	42209067.0	0.0	0.0	304472.0	0.007213426	143.0	143.0	143.0	150.0	150.0	150.0	39.0	224.8	96.2	127088.0	16446.0	202.0	1309.0	79.7	83.98138679250673	82.86533704302519	16.018613207493274	79.66658477921811	100.0	0.0	1.9744396898941368	0.0
REF0009-mgg-pbdrep | M301216.lib1	35233280.0	0.0	35233280.0	1.0	17616640.0	17616640.0	30329797.0	29985766.0	4903483.0	28472110.0	35233280.0	0.0	642119.0	0.0	0.0	0.0	5164579369.0	2582296755.0	2582282614.0	4445811084.0	4445811084.0	0.0	0.0	33419261.0	0.007517022	147.0	147.0	147.0	150.0	150.0	150.0	38.8	248.4	97.8	13769425.0	1023020.0	7091.0	193347.0	80.8	86.08280864001307	85.10637102194289	13.917191359986921	80.81027369577853	100.0	0.0	1.8224786338370995	0.0
REF0009-mgg-pbdrep | M301217.lib1	30302.0	0.0	30302.0	1.0	15151.0	15151.0	154.0	148.0	30148.0	142.0	30302.0	0.0	14.0	0.0	0.0	0.0	4165597.0	2082509.0	2083088.0	21200.0	21200.0	0.0	0.0	314.0	0.01481132	137.0	137.0	137.0	150.0	150.0	150.0	39.0	206.1	95.4	56.0	17.0	0.0	1.0	0.5	0.5082172793874992	0.4884166061646096	99.49178272061249	0.46861593294172	100.0	0.0	0.046201570853409014	0.0
REF0009-mgg-pbdrep | M301218.lib1	30312.0	0.0	30312.0	1.0	15156.0	15156.0	3113.0	3048.0	27199.0	3002.0	30312.0	0.0	110.0	0.0	0.0	0.0	4070395.0	2034880.0	2035515.0	443551.0	443551.0	0.0	0.0	5028.0	0.01133579	134.0	134.0	134.0	150.0	150.0	150.0	38.8	211.4	80.3	1306.0	208.0	0.0	10.0	9.9	10.269860121404065	10.055423594615993	89.73013987859593	9.90366851411982	100.0	0.0	0.3628925837951966	0.0
REF0009-mgg-pbdrep | M301219.lib1	24301602.0	0.0	24301602.0	1.0	12150801.0	12150801.0	21051584.0	20811748.0	3250018.0	19693568.0	24301602.0	0.0	443179.0	0.0	0.0	0.0	3549899006.0	1774956790.0	1774942216.0	3075102613.0	3075102613.0	0.0	0.0	21831943.0	0.007099582	146.0	146.0	146.0	150.0	150.0	150.0	39.0	241.1	99.6	9415168.0	843050.0	6391.0	141265.0	81.0	86.6263220013232	85.63940764069793	13.373677998676795	81.03814719704488	100.0	0.0	1.8236616664201808	0.0
REF0009-mgg-pbdrep | M301220.lib1	66976.0	0.0	66976.0	1.0	33488.0	33488.0	55653.0	54362.0	11323.0	41764.0	66976.0	0.0	995.0	0.0	0.0	0.0	9996437.0	4998227.0	4998210.0	8307827.0	8307827.0	0.0	0.0	73491.0	0.008845995	149.0	149.0	149.0	150.0	150.0	150.0	38.3	329.5	129.6	25271.0	419.0	75.0	1416.0	62.4	83.09394409937887	81.16638795986621	16.906055900621116	62.35666507405638	100.0	0.0	1.485606784519828	0.0
REF0009-mgg-pbdrep | M301221.lib1	57636.0	0.0	57636.0	1.0	28818.0	28818.0	29397.0	28936.0	28239.0	26834.0	57636.0	0.0	531.0	0.0	0.0	0.0	8301123.0	4150231.0	4150892.0	4349917.0	4349917.0	0.0	0.0	29558.0	0.006795072	144.0	144.0	144.0	150.0	150.0	150.0	38.9	266.0	100.6	13575.0	619.0	17.0	257.0	46.6	51.00458047053925	50.204733152890554	48.995419529460754	46.55770698868763	100.0	0.0	0.9212991880074952	0.0
REF0009-mgg-pbdrep | M301222.lib1	2801368.0	0.0	2801368.0	1.0	1400684.0	1400684.0	2396091.0	2361770.0	405277.0	2130434.0	2801368.0	0.0	50710.0	0.0	0.0	0.0	414499999.0	207252172.0	207247827.0	354600155.0	354600155.0	0.0	0.0	2604040.0	0.007343595	148.0	148.0	148.0	150.0	150.0	150.0	38.9	282.5	110.2	1104460.0	47607.0	780.0	28038.0	76.0	85.5328896453447	84.30773821932713	14.467110354655297	76.04977282527679	100.0	0.0	1.810187022911663	0.0
