Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | M301277.lib1_1	M301277.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123051.0	17.8 Mbp	0.0	75-150	48.0	24.020121738141096	144.8907526147695	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301277.lib1_2	M301277.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	123051.0	17.8 Mbp	0.0	75-150	48.0	22.87100470536607	144.88724187532	150	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
fastp | M301278.lib1_1	M301278.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1135350.0	166.1 Mbp	0.0	75-150	45.0	23.871003994913504	146.28901924516668	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301278.lib1_2	M301278.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1135350.0	166.1 Mbp	0.0	75-150	45.0	23.571892091342647	146.27270533315718	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301279.lib1_1	M301279.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	192149.0	27.5 Mbp	0.0	75-150	49.0	17.50048139724901	143.01730427949144	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301279.lib1_2	M301279.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	192149.0	27.5 Mbp	0.0	75-150	49.0	16.75626727175265	143.0351862356817	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301280.lib1_1	M301280.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20845480.0	3 Gbp	0.0	75-150	43.0	18.70132669019532	145.66655236530892	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	pass	pass
fastp | M301280.lib1_2	M301280.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20845480.0	3 Gbp	0.0	75-150	43.0	17.46560674031908	145.65555372195794	150	pass	pass	fail	pass	pass	warn	pass	warn	fail	warn	pass
fastp | M301281.lib1_1	M301281.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21873287.0	3.2 Gbp	0.0	75-150	41.0	63.15276720897723	148.3407892010012	150	pass	pass	fail	pass	pass	warn	pass	warn	warn	pass	pass
fastp | M301281.lib1_2	M301281.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21873287.0	3.2 Gbp	0.0	75-150	42.0	62.60154055029873	148.32746472900942	150	pass	pass	fail	pass	pass	warn	pass	warn	warn	warn	pass
fastp | M301282.lib1_1	M301282.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9270707.0	1.3 Gbp	0.0	75-150	50.0	21.891302783027164	147.4375600480093	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301282.lib1_2	M301282.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9270707.0	1.3 Gbp	0.0	75-150	50.0	21.662410027617533	147.4348551841839	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301283.lib1_1	M301283.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7078049.0	1 Gbp	0.0	75-150	50.0	19.375141021504167	146.93413848929274	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301283.lib1_2	M301283.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7078049.0	1 Gbp	0.0	75-150	50.0	19.316912204807878	146.93420828253662	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301284.lib1_1	M301284.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23776.0	3.1 Mbp	0.0	75-150	58.0	31.42664872139973	130.5136271870794	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	fail	pass
fastp | M301284.lib1_2	M301284.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23776.0	3.1 Mbp	0.0	75-150	61.0	29.252187079407804	133.85127860026918	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	fail	warn
fastp | M301285.lib1_1	M301285.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3665120.0	540.5 Mbp	0.0	75-150	51.0	23.290092147658463	147.43902846291527	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | M301285.lib1_2	M301285.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3665120.0	540.5 Mbp	0.0	75-150	51.0	23.70776082967322	147.4414769502772	150	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
fastp | M301286.lib1_1	M301286.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23204.0	3.1 Mbp	0.0	75-150	57.0	26.68936390277538	136.1451473883813	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301286.lib1_2	M301286.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23204.0	3.1 Mbp	0.0	75-150	58.0	25.7627995173246	136.21841061885883	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301287.lib1_1	M301287.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6692156.0	982.2 Mbp	0.0	75-150	51.0	23.01125084347143	146.71873937188553	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301287.lib1_2	M301287.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6692156.0	982.2 Mbp	0.0	75-150	51.0	22.733531349064982	146.71908724183956	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301288.lib1_1	M301288.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17341.0	2.3 Mbp	0.0	75-150	57.0	27.576264344616803	134.13966899256098	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301288.lib1_2	M301288.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17341.0	2.3 Mbp	0.0	75-150	58.0	26.941929531168906	134.28049132114643	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301289.lib1_1	M301289.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6369958.0	942.3 Mbp	0.0	75-150	51.0	28.337819033204397	147.89304670454655	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
fastp | M301289.lib1_2	M301289.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6369958.0	942.2 Mbp	0.0	75-150	51.0	28.97478502818745	147.88537601032849	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	warn	pass
fastp | M301290.lib1_1	M301290.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36642.0	5 Mbp	0.0	75-150	57.0	27.580372250423014	138.06593526554227	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301290.lib1_2	M301290.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36642.0	5 Mbp	0.0	75-150	58.0	26.79438895256809	138.15332132525518	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301291.lib1_1	M301291.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21849.0	3 Mbp	0.0	75-150	56.0	44.60616046500984	138.57284086228202	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	pass	pass
fastp | M301291.lib1_2	M301291.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21849.0	3 Mbp	0.0	75-150	56.0	43.46194333836789	138.72296214929744	150	pass	pass	fail	pass	pass	fail	pass	warn	fail	warn	pass
fastp | M301292.lib1_1	M301292.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8169129.0	1.1 Gbp	0.0	75-150	51.0	33.58384927504775	146.6216425276183	150	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
